operator,deviceSN,deviceSKU,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 15:48:36.859046,15.75,21.473,3.67,failed,noInfo,0.77
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,2CD26B5DDA61,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 15:49:14.524835,33.044,22.036,3.67,success,noInfo,0.775
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,2CD26B5DDA61,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 15:54:50.965883,32.45,21.307,3.671,success,noInfo,0.755
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,2CD26B5DDA61,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 16:05:27.633293,39.841,21.695,3.689,success,noInfo,0.79
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 18:18:12.172962,0.004,,,failed,noInfo,0.209
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 18:18:42.951698,0.004,,,failed,noInfo,0.103
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 18:20:00.054120,0.006,,,failed,noInfo,0.208
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 18:20:57.173789,15.827,,3.68,failed,noInfo,0.768
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 18:21:53.734386,15.838,,3.673,failed,noInfo,0.781
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,2CD26B5DDA61,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 18:23:58.813821,37.082,22.579,3.663,success,noInfo,0.777
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 18:32:09.684535,15.765,,3.625,failed,noInfo,0.771
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 18:32:44.845012,15.787,,3.631,failed,noInfo,0.773
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 18:33:19.516392,15.745,,3.633,failed,noInfo,0.781
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 18:33:55.500432,15.768,,3.62,failed,noInfo,0.781
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 18:36:46.055198,50.164,,2.39,failed,noInfo,1.79
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,2CD26B5DDA61,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 18:42:34.884915,47.29,21.731,3.63,success,noInfo,0.805
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 18:47:12.757233,15.808,21.731,3.675,failed,noInfo,0.772
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 18:48:29.685941,15.839,21.731,3.663,failed,noInfo,0.763
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 18:51:45.884866,15.802,21.731,3.676,failed,noInfo,0.778
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 18:52:44.348835,15.797,21.731,3.665,failed,noInfo,0.764
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 18:58:20.028196,15.838,,3.675,failed,noInfo,0.764
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 19:00:30.293192,15.824,,3.703,failed,noInfo,0.805
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,2CD26B5DDA61,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 19:02:12.964181,37.253,21.668,3.665,success,noInfo,0.761
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,2CD26B5DDA61,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 19:05:01.731898,33.767,22.155,3.635,success,noInfo,0.76
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 19:08:27.510130,15.825,22.155,3.675,failed,noInfo,0.769
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 19:09:41.210617,15.82,22.155,3.677,failed,noInfo,0.771
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,2CD26B5DDA61,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 19:12:27.716784,32.111,21.84,3.685,success,noInfo,0.765
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,2CD26B5DDA61,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 19:45:07.259104,37.483,22.243,3.682,success,noInfo,0.776
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 19:49:00.682284,15.857,22.243,3.642,failed,noInfo,0.759
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 19:49:30.309101,15.765,22.243,3.644,failed,noInfo,0.758
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 19:50:09.034128,15.829,22.243,3.629,failed,noInfo,0.768
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 19:52:50.203055,15.828,22.243,3.634,failed,noInfo,0.771
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,2CD26B5DDA61,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-22 19:56:37.147152,37.591,22.007,3.683,success,noInfo,0.77
