operator,deviceSN,deviceSKU,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 11:35:29.838849,47.803,22.301,3.704,success,noInfo,0.783
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 11:49:44.532818,36.055,22.301,3.714,failed,noInfo,0.787
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 11:51:12.559438,42.035,21.504,3.71,success,noInfo,0.791
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 11:53:20.534819,44.266,21.591,3.696,success,noInfo,0.797
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 11:59:13.808878,43.148,21.776,3.707,success,noInfo,0.787
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 14:11:10.120286,50.164,,3.709,failed,noInfo,0.808
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 14:13:01.864086,50.187,,3.705,failed,noInfo,0.788
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 14:14:38.718969,36.824,21.424,3.702,success,noInfo,0.795
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 14:16:54.801498,44.841,22.223,3.712,success,noInfo,0.806
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-23 14:20:27.495303,37.802,21.7,3.704,success,noInfo,0.775
