operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,recordTime,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,WifiChanel,AudioPackageVersion,FwVersion,PmMcuBootCostTime,PMDsnCostTime,PmMusicTime
noInfo,F11R3081A7A0,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186170,B8:4D:43:FC:CF:EC,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:52:36.584488,2022-02-18 20:51:16.790405,46.03,17.617,2.438,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,0.892,4.158,4.426
noInfo,F11R3081A7Z8,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186177,B8:4D:43:FC:D3:AC,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:57:24.202450,2022-02-18 20:56:00.736918,52.11,17.359,8.299,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.349,4.254,4.206
noInfo,F11R3081A6U8,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186183,F0:B0:40:74:A4:BB,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 21:00:33.252191,2022-02-18 20:59:08.927144,52.064,18.184,8.297,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.461,4.338,4.274
noInfo,F11R3081A6U1,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186189,B8:4D:43:FC:AA:F3,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 21:12:43.623861,2022-02-18 21:11:16.423648,54.077,18.026,8.284,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.389,5.157,4.517
noInfo,F11R3081A6S8,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186196,B8:4D:43:FC:C5:2C,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 21:15:54.232275,2022-02-18 21:14:26.139165,54.614,19.484,8.368,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.457,4.357,4.316
noInfo,F11R3081A7Z2,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186202,B8:4D:43:FC:D3:B2,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 21:18:19.529944,2022-02-18 21:16:54.215740,53.656,17.574,8.31,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.47,4.39,4.251
noInfo,F11R3081A6Q9,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,None_F11R3081A6Q9,,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 21:21:44.057827,2022-02-18 21:20:18.587716,80.774,17.574,8.286,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.423,4.39,4.251
noInfo,F11R3081A6Q9,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186213,F0:B0:40:74:A0:7D,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 21:23:15.098346,2022-02-18 21:21:57.580257,46.433,17.089,2.428,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,0.897,4.252,4.296
noInfo,F11R3081A6Q3,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186218,B8:4D:43:FC:96:A7,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 21:25:40.503049,2022-02-18 21:24:13.572997,52.639,17.901,8.282,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.437,4.258,6.716
noInfo,F11R3081A6K9,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186228,F0:B0:40:74:A0:95,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 21:32:11.037878,2022-02-18 21:30:47.522699,52.876,16.712,8.277,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.424,4.17,4.254
noInfo,F11R3081A6K0,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186231,B8:4D:43:FC:D3:E2,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 21:34:45.448217,2022-02-18 21:33:19.156111,53.418,18.717,8.357,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.387,4.399,4.368
noInfo,F11R3081A6J6,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186236,F0:B0:40:74:A1:0E,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 21:36:46.999745,2022-02-18 21:35:18.804083,54.758,19.677,8.284,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.394,4.142,4.177
noInfo,F11R3081A7F5,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186240,F0:B0:40:74:A4:AC,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 21:38:47.404441,2022-02-18 21:37:19.243013,55.295,18.651,8.328,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.402,4.298,4.427
